Date,Open,High,Low,Close,Adj Close,Volume
2016-10-24,41.389999,41.750000,41.150002,41.369999,41.369999,8714100
2016-10-25,41.200001,41.889999,40.950001,41.209999,41.209999,8696400
2016-10-26,40.150002,42.410000,40.049999,41.400002,41.400002,14175900
2016-10-27,41.619999,42.250000,40.919998,41.470001,41.470001,9546700
2016-10-28,41.389999,41.880001,41.000000,41.340000,41.340000,8474700
2016-10-31,41.720001,41.820000,41.130001,41.770000,41.770000,8697100
2016-11-01,41.840000,42.480000,41.549999,41.880001,41.880001,10889300
2016-11-02,41.840000,42.369999,41.720001,41.930000,41.930000,10361500
2016-11-03,42.060001,42.570000,41.770000,41.919998,41.919998,8142800
2016-11-04,41.810001,43.240002,41.750000,42.880001,42.880001,10813000
2016-11-07,43.400002,44.610001,43.029999,44.209999,44.209999,11534700
2016-11-08,43.630001,44.639999,43.130001,44.529999,44.529999,9732800
2016-11-09,43.700001,45.490002,43.570000,45.250000,45.250000,13290300
2016-11-10,45.419998,46.130001,44.970001,45.950001,45.950001,20759900
2016-11-11,45.750000,46.950001,45.270000,46.380001,46.380001,10272900
2016-11-14,46.619999,47.480000,46.610001,47.470001,47.470001,11932500
2016-11-15,49.020000,49.240002,47.000000,47.650002,47.650002,14153200
2016-11-16,47.590000,47.740002,47.160000,47.380001,47.380001,6886400
2016-11-17,47.410000,48.529999,47.209999,48.509998,48.509998,8569700
2016-11-18,48.799999,48.980000,48.250000,48.900002,48.900002,8250900
2016-11-21,48.980000,49.169998,48.509998,48.610001,48.610001,8665000
2016-11-22,48.840000,49.299999,48.750000,48.900002,48.900002,8941800
2016-11-23,48.790001,49.290001,48.630001,49.209999,49.209999,4723700
2016-11-25,49.169998,49.410000,48.889999,49.240002,49.240002,2241400
2016-11-28,49.080002,49.349998,48.480000,48.490002,48.490002,9227900
2016-11-29,48.529999,49.049999,48.230000,48.590000,48.590000,7057000
2016-11-30,47.549999,48.750000,46.849998,48.180000,48.180000,9245300
2016-12-01,47.959999,48.939999,47.599998,47.770000,47.770000,9802400
2016-12-02,48.320000,48.939999,47.889999,48.310001,48.310001,8869900
2016-12-05,48.509998,48.810001,47.590000,47.820000,47.820000,9240200
2016-12-06,48.209999,49.490002,48.110001,49.430000,49.430000,9142600
2016-12-07,49.439999,51.330002,49.180000,51.099998,51.099998,10667600
2016-12-08,51.099998,51.919998,50.540001,51.349998,51.349998,9489100
2016-12-09,52.000000,52.759998,51.259998,51.779999,51.779999,8526700
2016-12-12,51.029999,51.340000,49.930000,49.970001,49.970001,8648700
2016-12-13,50.020000,50.700001,49.619999,49.660000,49.660000,8855500
2016-12-14,49.860001,50.580002,49.580002,49.820000,49.820000,9555000
2016-12-15,50.480000,51.740002,50.430000,50.500000,50.500000,10302100
2016-12-16,51.020000,51.500000,50.090000,50.160000,50.160000,10039600
2016-12-19,50.220001,50.740002,50.189999,50.419998,50.419998,4998300
2016-12-20,50.430000,51.150002,50.419998,50.759998,50.759998,6176300
2016-12-21,50.680000,51.150002,50.450001,50.919998,50.919998,4077700
2016-12-22,50.770000,50.849998,49.660000,49.799999,49.799999,5407300
2016-12-23,49.939999,50.139999,49.779999,49.889999,49.889999,4046300
2016-12-27,49.950001,50.610001,49.930000,50.360001,50.360001,3365600
2016-12-28,50.349998,50.459999,49.450001,49.509998,49.509998,4520200
2016-12-29,49.540001,49.849998,49.209999,49.310001,49.310001,3348300
2016-12-30,49.340000,49.560001,48.869999,49.189999,49.189999,4532400
2017-01-03,49.369999,50.139999,49.169998,49.480000,49.480000,5423200
2017-01-04,50.090000,50.930000,49.990002,50.700001,50.700001,7898600
2017-01-05,50.410000,50.689999,49.500000,49.730000,49.730000,5806200
2017-01-06,49.790001,50.299999,49.220001,49.680000,49.680000,6922700
2017-01-09,49.459999,50.169998,49.419998,49.689999,49.689999,5330100
2017-01-10,49.930000,51.349998,49.860001,50.930000,50.930000,8440500
2017-01-11,51.459999,51.740002,50.650002,51.439999,51.439999,10001600
2017-01-12,51.299999,52.000000,49.669998,50.889999,50.889999,14284800
2017-01-13,50.790001,51.639999,50.779999,51.230000,51.230000,7380600
2017-01-17,50.990002,51.220001,50.189999,50.330002,50.330002,7477500
2017-01-18,50.139999,50.799999,49.790001,50.299999,50.299999,7076500
2017-01-19,50.279999,50.500000,49.619999,49.700001,49.700001,7012700
2017-01-20,49.770000,50.540001,49.709999,50.500000,50.500000,7722400
2017-01-23,50.279999,50.430000,48.770000,48.770000,48.770000,8753100
2017-01-24,48.910000,49.759998,48.820000,49.439999,49.439999,6398100
2017-01-25,49.990002,50.430000,49.810001,50.189999,50.189999,8096300
2017-01-26,50.689999,51.540001,50.560001,50.900002,50.900002,8905600
2017-01-27,51.000000,51.119999,49.570000,49.700001,49.700001,6852000
2017-01-30,48.950001,48.950001,47.540001,47.669998,47.669998,12745600
2017-01-31,47.790001,47.830002,46.570000,47.240002,47.240002,12533800
2017-02-01,47.480000,47.770000,47.040001,47.259998,47.259998,8377500
2017-02-02,46.590000,47.660000,46.480000,47.380001,47.380001,8795700
2017-02-03,47.520000,48.000000,47.410000,47.810001,47.810001,5632300
2017-02-06,48.189999,48.680000,47.930000,48.259998,48.259998,7169200
2017-02-07,48.439999,48.939999,48.080002,48.150002,48.150002,7262900
2017-02-08,48.259998,48.299999,47.730000,48.099998,48.099998,5342600
2017-02-09,48.099998,49.549999,48.099998,49.330002,49.330002,7274700
2017-02-10,49.549999,49.570000,49.020000,49.259998,49.259998,5322600
2017-02-13,49.369999,50.419998,49.279999,50.060001,50.060001,6565900
2017-02-14,49.820000,49.990002,49.099998,49.860001,49.860001,7024600
2017-02-15,50.950001,51.959999,50.529999,51.169998,51.169998,12705000
2017-02-16,51.160000,51.169998,50.590000,50.830002,50.830002,6626700
2017-02-17,50.590000,51.230000,50.189999,51.230000,51.230000,5428000
2017-02-21,51.299999,51.529999,50.970001,51.209999,51.209999,6406500
2017-02-22,51.000000,51.139999,50.480000,50.930000,50.930000,4345100
2017-02-23,51.119999,51.490002,50.189999,50.480000,50.480000,6470900
2017-02-24,50.380001,50.520000,49.880001,50.459999,50.459999,8154700
2017-02-27,50.330002,50.459999,49.830002,50.439999,50.439999,7574200
2017-02-28,50.500000,50.599998,49.860001,49.930000,49.930000,6950200
2017-03-01,50.410000,51.869999,50.349998,51.029999,51.029999,14144700
2017-03-02,50.000000,50.689999,49.810001,49.959999,49.959999,12527200
2017-03-03,50.009998,50.639999,49.720001,50.130001,50.130001,11170800
2017-03-06,49.500000,49.849998,48.209999,48.849998,48.849998,11368700
2017-03-07,48.520000,48.669998,47.570000,47.639999,47.639999,10266200
2017-03-08,47.680000,47.970001,47.520000,47.669998,47.669998,7165900
2017-03-09,47.689999,48.349998,46.959999,47.250000,47.250000,8790500
2017-03-10,47.310001,47.980000,47.209999,47.910000,47.910000,6263100
2017-03-13,47.900002,48.220001,47.169998,47.349998,47.349998,6995300
2017-03-14,47.020000,47.070000,46.119999,46.279999,46.279999,14313200
2017-03-15,45.930000,47.490002,45.230000,47.189999,47.189999,17933000
2017-03-16,47.619999,47.700001,47.020000,47.410000,47.410000,7899000
2017-03-17,47.619999,47.650002,46.509998,46.509998,46.509998,12295000
2017-03-20,47.230000,47.230000,46.549999,46.849998,46.849998,5867100
2017-03-21,47.070000,47.180000,45.430000,45.520000,45.520000,10366200
2017-03-22,45.250000,45.840000,44.470001,45.740002,45.740002,12064000
2017-03-23,45.869999,46.220001,45.470001,45.919998,45.919998,5589200
2017-03-24,46.099998,46.310001,45.599998,46.000000,46.000000,6290300
2017-03-27,45.369999,46.259998,45.080002,46.099998,46.099998,9023000
2017-03-28,46.099998,46.799999,45.759998,46.529999,46.529999,7321200
2017-03-29,46.419998,46.650002,45.730000,45.950001,45.950001,6321100
2017-03-30,46.020000,46.480000,45.910000,46.270000,46.270000,4909100
2017-03-31,46.119999,46.290001,45.889999,45.959999,45.959999,7052700
2017-04-03,45.959999,46.340000,45.570000,46.320000,46.320000,7398100
2017-04-04,45.840000,46.049999,45.000000,45.110001,45.110001,8765500
2017-04-05,45.430000,46.099998,45.040001,45.080002,45.080002,8313400
2017-04-06,45.119999,45.660000,44.869999,45.259998,45.259998,6080400
2017-04-07,45.220001,45.410000,44.750000,45.169998,45.169998,9007300
2017-04-10,45.070000,45.230000,44.599998,44.970001,44.970001,9945400
2017-04-11,45.000000,45.320000,44.490002,45.290001,45.290001,10506800
2017-04-12,46.970001,47.169998,45.000000,45.049999,45.049999,14332800
2017-04-13,44.889999,45.000000,43.810001,44.029999,44.029999,14894000
